teks,label
"Selamat! Anda memenangkan hadiah 100 juta rupiah, klik link ini sekarang",SPAM
"Promo pulsa gratis khusus hari ini transfer dulu Rp50.000 untuk klaim",SPAM
"Kamu terpilih dapat undian mobil, balas dengan data KTP dan rekening",SPAM
"Diskon 90 persen semua produk buruan beli sebelum kehabisan link di bio",SPAM
"Uang muka pinjaman cair tanpa jaminan langsung ke rekening klik disini",SPAM
"Akun anda diblokir verifikasi sekarang dengan mengirim kode OTP anda",SPAM
"Menangkan iPhone terbaru cukup share pesan ini ke 10 grup whatsapp",SPAM
"Investasi bagi hasil 30 persen per minggu dijamin cuan gabung sekarang",SPAM
"Selamat nomor anda menang tiket liburan gratis ke Bali klaim di sini",SPAM
"Butuh dana cepat? Pinjol tanpa BI checking cair 5 menit hubungi kami",SPAM
"Klik tautan ini untuk klaim saldo dana gratis Rp200.000 sekarang juga",SPAM
"Anda mendapat cashback besar segera konfirmasi PIN ATM untuk pencairan",SPAM
"Halo, besok kita jadi rapat kelompok jam 3 sore di perpustakaan ya",BUKAN
"Makasih ya udah bantu aku ngerjain tugas kemarin sangat membantu",BUKAN
"Tolong kirim materi kuliah pertemuan minggu lalu dong aku ketinggalan",BUKAN
"Nanti malam kita kumpul di rumah Andi buat diskusi proyek akhir",BUKAN
"Jangan lupa deadline laporan hari Jumat, ayo kita selesaikan bareng",BUKAN
"Aku sudah sampai kampus, kamu posisi dimana sekarang?",BUKAN
"Selamat pagi semua, semangat kuliahnya hari ini jangan lupa sarapan",BUKAN
"Boleh pinjam catatan matematika kamu? Punyaku kurang lengkap",BUKAN
"Ayo latihan presentasi dulu sebelum tampil di depan dosen besok",BUKAN
"Terima kasih infonya, nanti aku kabari lagi kalau ada perkembangan",BUKAN
"Kita ketemu di kantin jam istirahat ya buat bahas jadwal ujian",BUKAN
"Sudah baca email dari dosen tentang perubahan jadwal praktikum?",BUKAN
